Slur,Reading,Image
urn:cite:hmt:venAslur.19_1,urn:cts:greekLit:tlg0012.tlg001.msA:19.4@περικείενον,"urn:cite:hmt:vaimg.VA251VN-0753@0.6635,0.2872,0.1286,0.02"
urn:cite:hmt:venAslur.19_2,urn:cts:greekLit:tlg0012.tlg001.msA:19.62@ἀπομηνίσαντος,"urn:cite:hmt:vaimg.VA252VN-0754@0.807,0.4493,0.031,0.0105"
urn:cite:hmt:venAslur.19_3,urn:cts:greekLit:tlg5026.msA:19.hc_18@δηλονότι,"urn:cite:hmt:vaimg.VA259VN-0761@0.608,0.1277,0.065,0.018"
urn:cite:hmt:venAslur.19_4,urn:cts:greekLit:tlg0012.tlg001.msA:19.327@Νεοπτόλεμος,"urn:cite:hmt:vaimg.VA258RN-0429@0.35,0.2126,0.13,0.0195"
urn:cite:hmt:venAslur.19_5,urn:cts:greekLit:tlg0012.tlg001.msA:19.361@κραταιγύαλοι,"urn:cite:hmt:vaimg.VA258VN-0760@0.6,0.3989,0.126,0.0263"
urn:cite:hmt:venAslur.19_6,urn:cts:greekLit:tlg0012.tlg001.msA:19.344@ὀρθοκραιράων,"urn:cite:hmt:vaimg.VA258RN-0429@0.457,0.5372,0.15,0.024"
urn:cite:hmt:venAslur.19_6,urn:cts:greekLit:tlg0012.tlg001.msA:19.377@οἰοπόλῳ,"urn:cite:hmt:vaimg.VA259RN-0430@0.298,0.2039,0.079,0.0248"
